filename,title,prefix,namespace_uri,description,parse_success,metadata_completeness_pct,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,has_license,has_version,has_creators,has_embedded_doi,paper_count,top_paper_titles,top_paper_urls,paper_match_types,web_result_count,top_web_titles,top_web_urls,web_result_types
diclvl,A vocabulary for LOD levels,diclvl,https://w3id.org/digitalconstruction/0.5/Levels#,"Digital Construction Levels vocabulary defines LOD systems and their specific levels as individuals. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",True,53.8,0,0,0,0.0,0.0,False,True,True,False,0,,,,2,A vocabulary for LOD levels,https://w3id.org/digitalconstruction/0.5/Levels# | https://digitalconstruction.github.io/Levels/v/0.5/,"documentation:1, official_namespace:1"
dicm,Digital Construction Materials,dicm,https://w3id.org/digitalconstruction/0.5/Materials#,"The Digital Construction Building Material Ontology (DICBM) defines the necessary relationships between building elements, constructions’ details, materials and their properties. It aims to provide information related to construction details, materials, properties, values and units.",True,76.9,71,70,0,52.5,0.0,True,True,True,False,0,,,,9,Digital Construction Materials | About SYPAC | Digital Construction Materials Platform | Digital Passport of Construction Materials | Home - Chair of Materials and Methods in Digital Construction | Construction Materials Methods And Techniques,https://w3id.org/digitalconstruction/0.5/Materials# | https://digitalconstruction.github.io/Materials/v/0.5/ | https://sypac.app/about-us | https://www.blueroominnovation.com/en/digital-passport-for-construction-materials/ | https://www.mae.ed.tum.de/en/m2dc/home/,"documentation:1, official_namespace:1, other:6, paper:1"
dicob,Digital Construction Occupancy,dicob,https://w3id.org/digitalconstruction/0.5/Occupancy#,"Ontology of occupants behaviour inside a building, including environmental conditions and users’ interactions set the parameters for an accurate comfort behavioural profile. Towards this direction, the scope of this ontological model is to align environmental data with users preferences under a common framework in order to define a dynamically adaptive comfort profiling model in a building environment. Extensions to the base ontologies (BOT, SSN) apply in order to address the specific requirements for the model framework.",True,76.9,76,15,0,6.7,0.0,True,True,True,False,0,,,,3,Digital Construction Occupancy | bioregistry.io/api/registry/digitalconstruction.occupancy/ols.json,https://w3id.org/digitalconstruction/0.5/Occupancy# | https://digitalconstruction.github.io/Occupancy/v/0.5/ | https://bioregistry.io/api/registry/digitalconstruction.occupancy/ols.json,"documentation:1, official_namespace:1, other:1"
dicp,Digital Construction Processes,dicp,https://w3id.org/digitalconstruction/0.5/Processes#,"Process ontology provides the concepts for the activities and their relationships between different entities (building objects, information entities, resources, and the environment). The relationships are represented with variables and constraints.",True,76.9,24,40,0,52.4,0.0,True,True,True,False,0,,,,8,Digital Construction Processes | Advantages of Digital Construction Processes: | Construction Project Management | Excellence in quality: Benefits of digital construction processes | Structural Engineering and Digital Construction Processes - Master of Engineering (M.Eng.): TH OWL | Digitalising the Construction Process — ConTech,https://w3id.org/digitalconstruction/0.5/Processes# | https://struxhub.com/blog/advantages-of-digital-construction-processes-real-world-case-studies/ | https://buildindigital.com/excellence-in-quality-benefits-of-digital-construction-processes/ | https://www.th-owl.de/en/studies/available-courses/degree-programs/detail/structural-engineering-and-digital-construction-processes/ | https://digitalconstruction.github.io/Processes/v/0.5/,"documentation:1, official_namespace:1, other:5, paper:1"
dicstg,A vocabulary for BLCS stages,dicstg,https://w3id.org/digitalconstruction/0.5/Stages#,"Digital Construction Stages vocabulary defines product lifecycle stage frameworks and their specific stages as individuals. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",True,53.8,0,0,0,0.0,0.0,False,True,True,False,0,,,,2,A vocabulary for BLCS stages,https://w3id.org/digitalconstruction/0.5/Stages# | https://digitalconstruction.github.io/Stages/v/0.5/,"documentation:1, official_namespace:1"
dicu,Digital Construction Units,dicu,https://w3id.org/digitalconstruction/0.5/Units#,"Digital Construction Units vocabulary defines units and quantity kinds that are specific to construction and renovation projects, for instance, concerning energy simulation results. Digital Construction Units vocabulary defines quantity kind and unit of measure individuals that are relevant in construction and renovation domain but not available in the Units and Quantitykind vocabularies of QUDT . Examples are various energy efficiency and cost related units. Note that as this module is a vocabulary, it only specifies named individuals (instances of classes), and does not define any new classes or properties.",True,53.8,0,0,0,0.0,0.0,True,False,False,False,0,,,,2,"Digital Construction Units | Construction Units Stock Illustrations – 1,148... - Dreamstime",https://w3id.org/digitalconstruction/0.5/Units# | https://www.dreamstime.com/illustration/construction-units.html,"official_namespace:1, other:1"
dicv,Digital Construction Variables,dicv,https://w3id.org/digitalconstruction/0.5/Variables#,"Ontology of objectified properties, variables and constraints. Variables are needed to represent the intermediate stages of problem solving or decision making that are encountered, for example, in planning and scheduling processes. Variables are defined as a class that resembles rdf:Statement used for RDF reification. A variable has a VariableDomain that is an instance-level representation for the set of possible values that can be given to the variable. Constraints are associated to variables, and they can concern one, two or more variables.",True,76.9,28,30,0,78.2,0.0,True,True,True,False,0,,,,6,Digital Construction Variables | Digital Construction Variables - GitHub Pages | digitalconstruction.github.io/Variables/v/0.5/variables.ttl | GitHub - digitalconstruction/Variables: Ontology of variables and constraints | digitalconstruction.github.io,https://w3id.org/digitalconstruction/0.5/Variables# | https://digitalconstruction.github.io/Variables/latest/ | https://digitalconstruction.github.io/Variables/v/0.5/ | https://digitalconstruction.github.io/Variables/v/0.5/variables.ttl | https://github.com/digitalconstruction/Variables,"documentation:4, github_repo:1, official_namespace:1"
dmo,Damage Mechanics Ontology,dmo,,Extension of Damage Topology Ontology (DTO). Defines reduced material parameters to describe the mechanical influence of damages during a structural analysis.,True,38.5,0,0,0,0.0,0.0,False,False,False,False,0,,,,0,,,
do,Defect Ontology,do,,Ontology developed to describe defects in construction and building components. It provides a structured representation of defect types supporting defect identification classification and analysis in inspection and quality assessment workflows.,True,38.5,0,0,0,0.0,0.0,False,False,False,True,2,A linked data system framework for sharing construction defect information using ontologies and BIM environments | Ontology-guided attribute learning to accelerate certification for developing new printing processes,https://openalex.org/W2402773217 | https://openalex.org/W4387106527,exact_ontology:2,0,,,
dogont,DogOnt: Ontology Modeling for Intelligent Domotic Environments,dogont,https://iot-ontologies.github.io/dogont/documentation/index-en.html#,"The DogOnt ontology aims at offering a uniform, extensible model for all devices being part of a “local” Internet of Things inside a smart environment. Its major focus is on device modeling, for all the aspects needed to abstract device “capabilities” from low-level idiosyncrasies and communication issues.",True,76.9,1083,96,0,22.6,0.0,True,True,True,False,1,DogOnt - Ontology Modeling for Intelligent Domotic Environments,https://openalex.org/W1573529694,exact_ontology:1,6,DogOnt: Ontology Modeling for Intelligent Domotic Environments | DogOnt - Ontology Modeling for Intelligent Domotic Environments | (PDF) DogOnt - Ontology Modeling for Intelligent Domotic... | raw.githubusercontent.com/iot-ontologies/dogont/master/dogont.owl,https://iot-ontologies.github.io/dogont/documentation/index-en.html# | https://iot-ontologies.github.io/dogont/documentation/index-en.html | https://link.springer.com/chapter/10.1007/978-3-540-88564-1_51 | https://pdfs.semanticscholar.org/8342/af10b0b7f4271ee8dfe08efd3e8b48e0944b.pdf | https://www.researchgate.net/publication/221466113_DogOnt_-_Ontology_Modeling_for_Intelligent_Domotic_Environments,"documentation:2, other:1, paper:3"
dor,Decommissioning and Reuse Ontology,dor,https://z-arghavan.github.io/DORF/,"This is an ontology for the Semantic Material Bank, End-of-Life cycle and circular transformation. 
This ontology would serve as a standardized representation of the concepts and relationships involved in the material reuse process, providing a common framework for data integration and analysis, and facilitating knowledge sharing among stakeholders in the building deconstruction and material reuse community. The DOR ontology describes the concepts and relationships involved in the process of decommissioning a building, reclaiming reusable product, and supporting the reuse assessment and decision-making for later use in new construction projects. 
Additionally, DOR ontology would supports the processes involved in depositing reclaimed materials in a material bank,digital disgnosis, the conditions for acceptance of a material bank for second life cycle reuse, and the documentation required to ensure proper tracking and accounting of the materials in the construction industry..",True,61.5,85,28,0,98.6,0.0,True,False,False,False,0,,,,2,Decommissioning and Reuse Ontology (DOR) | GitHub - Z-Arghavan/DORF: Decommissioning and Reuse Ontology (DOR): https://z-arghavan.github.io/DORF/,https://z-arghavan.github.io/DORF/ | https://github.com/Z-Arghavan/DORF,"documentation:1, github_repo:1"
dot,Damage Topology Ontology,dot,https://w3id.org/dot#,The Damage Topology Ontology (DOT) allows the definition of damage representations and their relations with other damages and affected construction components.,True,76.9,14,15,0,100.0,0.0,True,True,True,False,2,An ontological model for the representation of damage to constructions | Formalisation of Knowledge About Non-Destructive Testing Methods For Bridge Structures Based on The Development of The Sodia Ontology,https://openalex.org/W3016882567 | https://openalex.org/W4403196159,exact_ontology:2,1,Damage Topology Ontology,https://w3id.org/dot#,official_namespace:1
dstv,DSTV:Steel Construction Ontology,dstv,http://w3id.org/dstv#,"Represents steel construction components, profiles, tolerances, and manufacturing processes to enable semantic integration into robotics and automation systems. Supports the DSTV‑NC standard by formalizing process data and quality metrics for steel fabrication workflows.",True,69.2,81,54,0,100.0,0.0,False,True,True,False,0,,,,3,DSTV:Steel Construction Ontology | GitHub - junjie-he/dstv-nc-ontology: DSTV:Steel Construction Ontology,http://w3id.org/dstv# | https://ip.pages.rwth-aachen.de/ioc/dstv-ontologie/ | https://github.com/junjie-he/dstv-nc-ontology,"github_repo:1, official_namespace:1, other:1"
dtc,Digital Twin Construction Ontology,dtc,https://dtc-ontology.cms.ed.tum.de/ontology#,"The Digital Twin Construction Ontology enables representing the most important concepts that are relevant for a digital twin of a construction site. It explicitly defines the project intent and project status. While the project intent describes the project aim in the form of, e.g., the construction schedule and a 3D building design, the project status describes the situation on the construction site as it was actually observed. In this way, project intent and status can be directly compared to identify any deviations between the two. The project intent is further differentiated into as-planned when referring to processes and as-designed when referring to processes and their required resources. Their counterparts of the project status are as-performed and as-built. The ontology is centred around the construction processes (dtc:Process). These are defined on three levels of detail. The processes have various types of construction resources (dtc:Resource) that are required for their execution, dedicated areas where they are performed (dtc:WorkingZone), preconditions that restrict their starting time (dtc:Precondition), and building elements (bot:Element) that result from their completion. The ontology is designed to form the starting point for representing digital twins of the construction phase. It is by no means an exhaustive list of all concepts related to Digital Twin Construction. The concepts defined here represent core concepts, which should be extended with domain-specific ontologies to cover specific digital twin use cases related to the construction phase.",True,53.8,63,56,0,100.0,0.0,True,False,False,False,4,Reference architecture and ontology framework for digital twin construction | Towards Practical Digital Twin Construction Systems | LLM-enabled multi-agent framework for natural language interaction with graph-based digital twins,https://openalex.org/W4408472960 | https://openalex.org/W4400380097 | https://openalex.org/W7165853082 | https://openalex.org/W7125818766,exact_ontology:4,1,Digital Twin Construction Ontology,https://dtc-ontology.cms.ed.tum.de/ontology#,documentation:1
ec,ECO - Eurocode Core Ontology,ec,https://www.w3id.org/eurocodes/ec1990#,"The Eurocode Core Ontology (ECO) provides a formal semantic representation of foundational concepts from the Eurocodes, the European standards for structural design. It enables machine-readable interpretation of regulatory knowledge, supporting automated reasoning, semantic interoperability, and integration with engineering workflows. ECO is designed as a modular, extensible framework for use in intelligent, standards-compliant design tools within the AECO industry.",True,76.9,122,34,0,0.0,0.0,True,True,True,True,1,Eurocode Core Ontology: Building the semantic framework for structural design assistants,https://doi.org/10.1016/j.aei.2025.104218,exact_ontology:1,6,ECO - Eurocode Core Ontology | EurocodesOntologies/ontologies/EC1990.ttl at main · mlaura1996/EurocodesOntologies | mlaura1996.github.io | raw.githubusercontent.com,https://www.w3id.org/eurocodes/ec1990# | https://mlaura1996.github.io/EC1990/ | https://github.com/mlaura1996/EurocodesOntologies/blob/main/ontologies/EC1990.ttl | https://mlaura1996.github.io/EC1990/ontology.nt | https://raw.githubusercontent.com/mlaura1996/EurocodesOntologies/refs/heads/main/ontologies/EC1990.ttl,"documentation:3, github_repo:1, official_namespace:1, other:1"
eepsa,The EEPSA Ontology.,eepsa,https://w3id.org/eepsa#,The EEPSA (Energy Efficiency Prediction Semantic Assistant) ontology puts together all the ontology modules and ODPs that form the EEPSA Ontology. It structures semantic guidance for energy efficiency modeling using the Ontology Design Patterns. Supports KDD-driven decision workflows for building performance optimization.,True,76.9,1,0,0,0.0,0.0,True,True,True,False,0,,,,6,The EEPSA Ontology. | Overview of the EEPSA ontology. | Download Scientific Diagram | EXR4EEPSA: Executor ontology module for the EEPSA Ontology. | EEPSA as a core ontology for energy | (PDF) EEPSA as a core ontology for energy efficiency and thermal...,https://w3id.org/eepsa# | https://www.researchgate.net/figure/Overview-of-the-EEPSA-ontology_fig5_349740423 | https://iesnaola.github.io/eepsa/EXR4EEPSA/index-en.html | https://semantic-web-journal.net/system/files/swj2076.pdf | https://www.researchgate.net/publication/349740423_EEPSA_as_a_core_ontology_for_energy_efficiency_and_thermal_comfort_in_buildings,"documentation:1, official_namespace:1, other:1, paper:3"
emmo,Elementary Multiperspective Material Ontology (EMMO),emmo,http://emmo.info/emmo#,"Developed by the European Materials Modelling Council, this ontology provides a physics-informed framework to describe materials from elementary particles to macroscopic structures supporting standardized modeling in materials science across scales and disciplines.",True,76.9,0,0,0,0.0,0.0,True,True,True,False,6,"Elementary Multiperspective Material Ontology: Leveraging Perspectives via a Showcase of EMMO-Based Domain and Application Ontologies | Application of an ontology based process model construction tool for active protective coatings: Corrosion inhibitor release | OSMO: Ontology for Simulation, Modelling, and Optimization | Performance Evaluation of Upper‐Level Ontologies in Developing Materials Science Ontologies and Knowledge Graphs | CHAMEO: An ontology for the harmonisation of materials characterisation methodologies",https://openalex.org/W4404579307 | https://openalex.org/W3210412633 | https://openalex.org/W3208251764 | https://openalex.org/W4403137571 | https://openalex.org/W4286560762,exact_ontology:6,5,Elementary Multiperspective Material Ontology (EMMO) | GitHub - emmo-repo/EMMO: Elementary Multiperspective Material Ontology (EMMO) | Elementary Multiperspective Material Ontology (EMMO) - GitHub,http://emmo.info/emmo# | https://emmo-repo.github.io/ | https://emmo-repo.github.io/versions/1.0.0-beta4/emmo.html | https://github.com/emmo-repo/EMMO | https://github.com/emmo-repo/,"documentation:2, github_repo:2, other:1"
esair,calidad-aire,esair,http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/calidad-aire#,The vocabulary extends the W3C Semantic Sensor Network Ontology (SOSA) with properties that are specific for the representation of air quality data.,True,76.9,4,2,0,100.0,0.0,True,True,True,False,0,,,,10,calidad-aire | Sensor de calidad de aire IoT - Todos los fabricantes ... | Sensores Calidad Aire IoT: Guía Completa y Práctica | GitHub - opencitydata/medio-ambiente-calidad-aire: Vocabulario sobre calidad del aire | Sensores IoT para la monitorización de la calidad del aire,http://vocab.linkeddata.es/datosabiertos/def/medio-ambiente/calidad-aire# | https://www.directindustry.es/fabricante-industrial/sensor-calidad-aire-iot-264375.html | https://tgestiona.com.pe/sensores-calidad-aire/ | https://github.com/opencitydata/medio-ambiente-calidad-aire | https://www.dnota.com/dnota-evolucion-liderazgo-calidad-aire-microbiologia/sensores-iot-calidad-aire/,"documentation:1, github_repo:2, other:7"
eurobau,Eurobau Utility Ontology,eurobau,,"Extends GoodRelations to describe material offerings, such as delivery modes and product attributes, within the Eurobau linked?data ecosystem for building materials and procurement.",True,61.5,0,0,0,0.0,0.0,True,True,False,False,0,,,,3,semantic.eurobau.com/eurobau-utility.owl | eurobau Webservice - Testsystem | European Business Association of Uzbekistan (EUROBAU) is...,http://semantic.eurobau.com/eurobau-utility.owl | https://webservices.icontent.at/eurobau/ | https://mzv.gov.cz/file/991234/EUROBAU_Short_Brief_Eng.pdf,"other:2, paper:1"
facility,Facility Ontology,facility,https://cogito.iot.linkeddata.es/def/facility#,The COGITO Facility ontology aims at modelling facilities in the construction domain. It supports semantic representation of facility structures spaces and relationships enabling integration of facility related information within digital construction and facility management workflows.,True,76.9,24,18,0,100.0,0.0,True,True,True,False,2,Ontology-based facility data model for energy management | Design of benchmark imagery for validating facility annotation algorithms,https://openalex.org/W1759039556 | https://openalex.org/W2159222004,exact_ontology:2,3,Facility Ontology | Design of benchmark imagery for validating facility annotation algorithms | This web provides a catalogue of ontologies useful for smart city data.,https://cogito.iot.linkeddata.es/def/facility# | https://www.scholars.northwestern.edu/en/publications/design-of-benchmark-imagery-for-validating-facility-annotation-al | https://smartcity.linkeddata.es/ontologies/jpo.imp.bg.ac.rscascadeairport-ontologyGenericFacilityOntology.owl.html,"documentation:2, other:1"
ffdr,Firefighters' Data Requirements Ontology,ffdr,https://purl.org/ffdr-ontology#,"Defines building and environmental data needed by firefighters during emergencies. Captures spatial layouts, hazard indicators, and operational parameters to improve decision-making and response strategies. The ontology  ontology can be a basis for developing intelligent tools and systems that collect building components and environmental data from different sources.",True,76.9,166,114,0,93.2,0.0,True,True,True,True,3,An ontology to represent firefighters data requirements during building fire emergencies | Development of an ontology for the representation of firefighters’ data requirements during building fire emergencies | Integration of building and environmental data to support fire emergency response operations,https://doi.org/10.1016/j.aei.2023.101992 | https://openalex.org/W4283574740 | https://openalex.org/W4384405404,exact_ontology:3,1,Firefighters' Data Requirements Ontology,https://purl.org/ffdr-ontology#,official_namespace:1
fgo,FireGrid ontology,fgo,,"Models concepts of state parameters, events, hazards, and spatiotemporal relationships at the rooms level for fire incident description. Supports distributed simulation and decision support systems by integrating sensor data and predictive models for fire dynamics.",True,61.5,0,0,0,0.0,0.0,True,True,False,True,0,,,,1,A high-level view of part of the FireGrid ontology - ResearchGate,https://www.researchgate.net/figure/A-high-level-view-of-part-of-the-FireGrid-ontology_fig6_228446116,paper:1
fisa,Fire Safety Ontology,fisa,https://purl.org/fisa#,"FiSa enables the classification of buildings and its components based on fire safety considerations. FiSa establish a fire safety perspective for buildings utilizing a combination of building codes, technical regulations, guidelines, and semi-structured interviews with fire safety planners.",True,69.2,0,0,0,0.0,0.0,True,True,False,True,0,,,,1,Fire Safety Ontology (FiSa),https://purl.org/fisa#,official_namespace:1
fm-ener,Facility Management Building Energy Ontology for Renovative Design Decisons,fm-ener,,"FM Domain Ontology can be used as a part of a knowledge base in a BIM-supported Facility Management Knowledge Management System. One of the primary goals of this system could be to check if a building design, represented in the form of BIM, is compliant with energy performance-related FM design criteria. Accordingly, with the help of the FM Domain Ontology, an integrated and accelerated building design process can be established, where Design Experts can proactively ensure the optimal energy consumption of newly renovated facilities. The ontology contains the Paragraph 405.9.1.1, Paragraph 405.9.1.2, and Paragraph 405.9.1.3 of the International Energy Conservation Code (IECC) 2021  in the form of natural text, as well as in the form of SWRL rules.",True,53.8,71,23,0,1.1,0.0,True,False,False,False,0,,,,0,,,
fmo,Failure Mechanism Ontology,fmo,https://w3id.org/fmo#,"The primary objective of the Failure Mechanism Ontology (FMO) is to represent masonry walls taking into account features and vulnerabilities that leads to a specific type of failure mechanism. This ontology is complementary to the Historic Masonry Ontology (HMO), of which represents an extension. The recommended prefix for this ontology is FMO, and its proposed namespace is https://w3id.org/fmo#. By utilizing the FMO ontology, it becomes possible to determine whether the structure is more susceptible to out-of-plane collapse or if in-plane failures are more likely. The scope is to facilitate the definition of the modeling assmptions, while employing global models for the structural analysis of unreinforced masonry constructions.",True,76.9,11,11,0,91.3,0.0,True,True,True,False,0,,,,1,Failure Mechanism Ontology,https://w3id.org/fmo#,official_namespace:1
fog,FOG: File Ontology for Geometry formats,fog,https://w3id.org/fog#,"The File Ontology for Geometry formats (FOG) provides geometry schema specific relations between things (e.g. building objects) and their geometry descriptions. These geometry descriptions can be (1) RDF-based (e.g. using specific ontologies such as GEOM, OntoBREP, etc.), (2) RDF literals containing embedded geometry of existing geometry formats and (3) RDF literals containing a reference to an external geometry file. The FOG ontology extends the Ontology for Managing Geometry (OMG) and consists of three taxonomies of properties. The first two are related to standalone geometry descriptions, i.e. one for RDF-based geometry schemas with as root object property the omg:hasComplexGeometryDescription and one for existing geometry schemas that can be represented using RDF literals with as root datatype property omg:hasSimpleGeometryDescription. This first series of properties (e.g. fog:asGltf) is then splitted per version of the geometry schema (e.g. fog:asGltf_v2.0), which are again splitted further if the geometry format consists of different kind of files (e.g. fog:asGltf_v2.0-glb). The last taxonomy of properties extends the OMG datatype property omg:hasReferencedGeometryId and allows to define a geometry description as part of a larger geometry description, by mentioning the ID of the geometry object related to the geometry schema used. If a geometry schema contains multiple types of IDs, a distinction is made by defining more specific subproperties (e.g. fog:hasRevitId-element). The FOG ontology is incomplete by nature, as it is impossible to contain all existing geometry schemas.",True,76.9,1,130,0,99.2,0.0,True,True,True,False,1,Including widespread geometry schemas into Linked Data-based BIM applied to built heritage,https://openalex.org/W3013345547,exact_ontology:1,4,FOG: File Ontology for Geometry formats | FOG: File Ontology for Geometry formats (fog) | The FOG ontology - File Ontology for Geometry formatsGitHubmathib.github.ioFOG: File Ontology for Geometry formats (fog)F-UJI - Automated FAIR Data Assessment ToolOntology Details - cyberbuildlab.github.io,https://w3id.org/fog# | https://mathib.github.io/fog-ontology/ | https://lov.linkeddata.es/dataset/vocabs/fog | https://github.com/mathib/fog-ontology,"documentation:2, github_repo:1, official_namespace:1"
fso,The Flow Systems Ontology (FSO),fso,http://www.w3id.org/fso#,"Describes interconnected systems with material or energy flows. Represents components, connections, and operational states to enable analysis of building services and energy networks.",True,76.9,14,22,0,88.6,0.0,True,True,True,False,3,"An ontology to support flow system descriptions from design to operation of buildings | Taking advantage of semantic web ontologies and shape constraints for Heating, Cooling and Ventilation Systems | A roadmap toward a unified ontology for building service systems in the AECO industry: TSO and FSO",https://openalex.org/W4200122439 | https://openalex.org/W4312712856 | https://openalex.org/W4412291586,exact_ontology:3,1,The Flow Systems Ontology (FSO),http://www.w3id.org/fso#,official_namespace:1
gbmno,Green Building Material Name Ontology,gbmno,,Provides a controlled vocabulary for naming interior building materials. Supports semantic annotation of material specifications to enable sustainable design and procurement workflows. Facilitates integration with green building certification systems.,True,38.5,0,0,0,0.0,0.0,False,False,False,True,1,Automated management of green building material information using web crawling and ontology,https://doi.org/10.1016/j.autcon.2019.01.015,exact_ontology:1,3,"UN/LOCODE GBMNO: Its location, region, coordinates and more | Gabriel Manio - Head of Creative Department in Seattle... :: Behance | Link to instagram.com",https://unlocode.info/GBMNO | https://www.behance.net/gbmnodesign | https://www.instagram.com/gbmno/,other:3
gbmto,Green Building Material Type Ontology,gbmto,,"Defines a structured taxonomy for categorizing interior building materials, facilitating lifecycle analysis and circular economy processes. It supports interoperability between material databases and BIM systems",True,38.5,0,0,0,0.0,0.0,False,False,False,True,1,Automated management of green building material information using web crawling and ontology,https://doi.org/10.1016/j.autcon.2019.01.015,exact_ontology:1,1,Сорбция глауконитом ГБМТО катионов кальция (II) – тема научной...,https://cyberleninka.ru/article/n/sorbtsiya-glaukonitom-gbmto-kationov-kaltsiya-ii,other:1
geo,GeoSPARQL Ontology,geo,http://www.opengis.net/ont/geosparql#,"An OGC standard ontology for representing and querying geospatial data in RDF. Defines classes and properties for geometries, spatial relationships, and topological operations. Enables semantic interoperability across GIS and linked data applications. GeoSPARQL does not define a comprehensive vocabulary for representing spatial information. Instead GeoSPARQL defines a core set of classes, properties and datatypes that can be used to construct query patterns.",True,76.9,6,54,0,0.0,0.0,True,True,True,False,5,An ontology matching method for GML application ontology to GeoSPARQL ontology | An Ontology-Based Framework for Geospatial Integration and Querying of Raster Data Cube Using Virtual Knowledge Graphs | Use of Semantic Web Technologies to Enhance the Integration and Interoperability of Environmental Geospatial Data: A Framework Based on Ontology-Based Data Access | Geoff: a linked data vocabulary for describing the form and function of spatial objects | A Semantic Digital Twin-Driven Framework for Multi-Source Data Integration in Forest Fire Prediction and Response,https://openalex.org/W2241419866 | https://openalex.org/W4386541473 | https://openalex.org/W4406906808 | https://openalex.org/W3117847139 | https://openalex.org/W4415719731,exact_ontology:5,10,GeoSPARQL Ontology | http://www.opengis.net/ont/geosparql# | GeoSPARQL Ontology - i3mainz.github.io | GitHub - opengeospatial/ogc-geosparql: Public Repository for ...GeoSPARQL Ontology - opengeospatial.github.ioGeoSPARQL - WikipediaGeoSPARQL Ontology - i3mainz.github.ioGeoSPARQL Ontology | OGC GeoSPARQL - A Geographic Query Language for RDF DataGitHub - opengeospatial/ogc-geosparql: Public Repository for ...GeoSPARQL Ontology - opengeospatial.github.ioGeoSPARQL - WikipediaGeoSPARQL Ontology - i3mainz.github.ioGeoSPARQL Ontology,https://www.opengis.net/ont/geosparql | https://opengeospatial.github.io/ogc-geosparql/geosparql10/geo.html | https://ontome.net/namespace/10 | https://i3mainz.github.io/ogc-geosparql/geosparql11/index.html | https://github.com/opengeospatial/ogc-geosparql,"documentation:2, github_repo:1, other:6, paper:1"
gis4reno,GIS-based ontology for surrounding buildings to support building renovation,gis4reno,,"The ontology can be useful to create a knowledge management system for different experts involved in the process of the building renovation, to extend the in-formation and stretch the domain from the individual building to the environment. Knowledge about what entities and attributes to select is captured based on literature and investigating the pilot demonstration sites. An ontology can help to structure the surrounding data to support processes in different stages of the renovation. The final goal is to support planners in decision making process namely in site planning and pre-data collection phase, energy modelling, comfort analysis and so on to control cost and quality.",True,46.2,65,76,0,0.0,0.0,True,False,False,False,1,GIS-based ontology for surrounding buildings to support building renovation,https://openalex.org/W3032263777,exact_ontology:1,0,,,
hbpo,Holistic Building Performance Ontology,hbpo,,"HBPO is designed to be unified and generalized building performance ontology as a comprehensive knowledge repository that bridges the gap between building information and performance models and embodies form, function, and behavior. HBPO focuses on acoustic, lighting, and energy domains as subsets to represent a range of sufficiently different domains. It encompasses essential data, relationships, and information requirements within and across these domains.",True,46.2,28,212,0,83.4,0.0,False,False,False,True,3,Ontology for holistic building performance modeling and analysis | Holistic building performance model with semantic web technologies | Generation of acoustic ontology for a holistic building performance domain,https://openalex.org/W4409564048 | https://openalex.org/W4384408051 | https://openalex.org/W4383682587,exact_ontology:3,0,,,
hmo,Historic Masonry Ontology,hmo,https://w3id.org/hmo#,"The Historic Masonry Ontology (HMO) aims to represent the historic masonry material by considering its heterogeneous nature and defining the configuration of units and joints in the wall. The proposed namespace is , with the preferred prefix hmo.

The ontology includes reference masonry types and their mechanical parameters, together with a set of SWRL rules to deduce masonry quality and mechanical parameters for any other masonry type. The ontology is designed to be used with other existing ontologies and as a semantic enrichment of Building Information Modeling models, offering a wide range of applications in the field of construction and historic preservation.",True,76.9,25,48,0,100.0,0.0,True,True,True,False,2,Leveraging semantic web rule languages to define modeling assumptions for the structural analysis of unreinforced masonry buildings,https://openalex.org/W7132214266 | https://openalex.org/W4405822094,exact_ontology:2,1,Historic Masonry Ontology,https://w3id.org/hmo#,official_namespace:1
icdd2ams,Asset Condition Integration from ICDD to AMS (icdd2ams),icdd2ams,https://icdd.vm.rub.de/ontology/icdd2ams#,Ontology for integrating BOT located asset conditions using eurotl and asbing ontologies into sql based asset management systems. It relates the condition to building elements.,True,69.2,0,2,0,100.0,0.0,True,False,True,True,1,BIM-Based Organization of Inspection Data Using Semantic Web Technology for Infrastructure Asset Management,https://doi.org/10.1007/978-3-030-91877-4_127,exact_ontology:1,3,Asset Condition Integration from ICDD to AMS (icdd2ams) | GitHub - RUB-Informatik-im-Bauwesen/icdd2ams: This repository,https://icdd.vm.rub.de/ontology/icdd2ams# | https://icdd.vm.rub.de/ontology/icdd2ams/ | https://github.com/RUB-Informatik-im-Bauwesen/icdd2ams,"documentation:2, github_repo:1"
idpo,Information Delivery Processes Ontology (IDPO),idpo,https://icdd.vm.rub.de/ontology/idpo#,"Models information delivery workflows in building projects, based on ISO-19650 and BPMN. Captures actors, appointments, information containers, requirements, and SHACL validation templates, facilitating semantic compliance and structured data delivery in construction planning.",True,76.9,7,24,0,93.3,0.0,True,True,True,False,0,,,,2,Information Delivery Processes Ontology (IDPO) Orcid logo | Information Delivery Processes Ontology (IDPO),https://icdd.vm.rub.de/ontology/idpo# | https://icdd.vm.rub.de/ontology/idpo/,documentation:2
